Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
2/23/2016 0:00,2/24/2016 0:00,5.358369225,20,11005
2/24/2016 0:00,2/25/2016 0:00,3.247198859,15,7115
2/25/2016 0:00,2/26/2016 0:00,5.911905721,12,11984
2/26/2016 0:00,2/27/2016 0:00,3.389001978,18,6619
2/27/2016 0:00,2/28/2016 0:00,5.818992086,20,12220
2/28/2016 0:00,2/29/2016 0:00,4.058765559,15,9029
2/29/2016 0:00,3/1/2016 0:00,3.54210784,17,7433
3/1/2016 0:00,3/2/2016 0:00,3.758475503,16,7966
3/2/2016 0:00,3/3/2016 0:00,5.050287571,14,11004
3/3/2016 0:00,3/4/2016 0:00,3.633511543,13,7932
3/4/2016 0:00,3/5/2016 0:00,2.862414748,10,5930
3/5/2016 0:00,3/6/2016 0:00,4.722551549,20,10329
3/6/2016 0:00,3/7/2016 0:00,6.630658206,19,14401
3/7/2016 0:00,3/8/2016 0:00,3.554124485,15,7732
3/8/2016 0:00,3/9/2016 0:00,4.262873568,11,9753
3/9/2016 0:00,3/10/2016 0:00,5.286986499,17,11722
3/10/2016 0:00,3/11/2016 0:00,5.407134833,7,12102
3/11/2016 0:00,3/12/2016 0:00,4.337885499,18,9410
3/12/2016 0:00,3/13/2016 0:00,5.635526028,19,13217
3/13/2016 0:00,3/14/2016 0:00,6.371428358,13,14420
3/14/2016 0:00,3/15/2016 0:00,5.24974151,18,11148
3/15/2016 0:00,3/16/2016 0:00,3.334284031,14,7078
3/16/2016 0:00,3/17/2016 0:00,3.499997515,14,7706
3/17/2016 0:00,3/18/2016 0:00,4.107642617,13,8970
3/18/2016 0:00,3/19/2016 0:00,2.34647782,14,4754
3/19/2016 0:00,3/20/2016 0:00,4.886686749,19,10973
3/20/2016 0:00,3/21/2016 0:00,5.741507099,16,12277
3/21/2016 0:00,3/22/2016 0:00,4.378492106,17,9566
3/22/2016 0:00,3/23/2016 0:00,3.829678428,20,8121
3/23/2016 0:00,3/24/2016 0:00,3.890293188,17,8749
3/24/2016 0:00,3/25/2016 0:00,4.15321398,10,8850
3/25/2016 0:00,3/26/2016 0:00,4.594014704,10,10981
3/26/2016 0:00,3/27/2016 0:00,4.949544659,22,10585
3/27/2016 0:00,3/28/2016 0:00,3.211991967,9,6930
3/28/2016 0:00,3/29/2016 0:00,2.959180884,21,6483
3/29/2016 0:00,3/30/2016 0:00,4.751420455,22,10752
3/30/2016 0:00,3/31/2016 0:00,3.089985733,13,7902
3/31/2016 0:00,4/1/2016 0:00,3.593638153,11,8238
4/1/2016 0:00,4/2/2016 0:00,2.951059562,9,6072
4/2/2016 0:00,4/3/2016 0:00,6.558082051,16,14750
4/3/2016 0:00,4/4/2016 0:00,4.776498996,30,10654
4/4/2016 0:00,4/5/2016 0:00,3.413390798,15,7573
4/5/2016 0:00,4/6/2016 0:00,3.608780969,23,8077
4/6/2016 0:00,4/7/2016 0:00,3.174504643,11,6746
4/7/2016 0:00,4/8/2016 0:00,3.894878907,15,8324
4/8/2016 0:00,4/9/2016 0:00,2.047175744,11,4300
4/9/2016 0:00,4/10/2016 0:00,3.672459089,16,8610
4/10/2016 0:00,4/11/2016 0:00,4.058809055,13,9010
4/11/2016 0:00,4/12/2016 0:00,3.119668635,18,7264
4/12/2016 0:00,4/13/2016 0:00,3.589784171,18,8221
4/13/2016 0:00,4/14/2016 0:00,2.866571721,11,6662
4/14/2016 0:00,4/15/2016 0:00,3.494703432,10,7622
4/15/2016 0:00,4/16/2016 0:00,3.821874006,15,8073
4/16/2016 0:00,4/17/2016 0:00,4.006489601,16,9142
4/17/2016 0:00,4/18/2016 0:00,4.1630565,11,9781
4/18/2016 0:00,4/19/2016 0:00,4.284447576,12,10031
4/19/2016 0:00,4/20/2016 0:00,3.249696771,12,7541
4/20/2016 0:00,4/21/2016 0:00,4.340600891,11,10427
4/21/2016 0:00,4/22/2016 0:00,3.473278553,12,7962
4/22/2016 0:00,4/23/2016 0:00,4.387570339,15,9908
4/23/2016 0:00,4/24/2016 0:00,4.548698103,15,10633
4/24/2016 0:00,4/25/2016 0:00,4.157880478,14,9250
4/25/2016 0:00,4/26/2016 0:00,3.917826145,17,8909
4/26/2016 0:00,4/27/2016 0:00,3.035261572,18,6474
4/27/2016 0:00,4/28/2016 0:00,3.297200598,8,6996
4/28/2016 0:00,4/29/2016 0:00,4.537333224,16,10796
4/29/2016 0:00,4/30/2016 0:00,3.116151674,9,6794
4/30/2016 0:00,5/1/2016 0:00,3.565795826,18,8458
5/1/2016 0:00,5/2/2016 0:00,2.664539092,9,6584
5/2/2016 0:00,5/3/2016 0:00,4.15944012,19,10523
5/3/2016 0:00,5/4/2016 0:00,4.116040304,18,10017
5/4/2016 0:00,5/5/2016 0:00,4.731368806,13,11826
5/5/2016 0:00,5/6/2016 0:00,4.793524567,8,11042
5/6/2016 0:00,5/7/2016 0:00,4.367879086,15,9381
5/7/2016 0:00,5/8/2016 0:00,9.261934335,35,22621.27065
5/8/2016 0:00,5/9/2016 0:00,5.261374829,29,13695.72935
5/9/2016 0:00,5/10/2016 0:00,4.424672413,18,9830
5/10/2016 0:00,5/11/2016 0:00,3.476633958,12,8749
5/11/2016 0:00,5/12/2016 0:00,3.279516374,11,7652
5/12/2016 0:00,5/13/2016 0:00,4.81030641,12,11076
5/13/2016 0:00,5/14/2016 0:00,3.102239173,4,7582
5/14/2016 0:00,5/15/2016 0:00,2.701920783,1,6152
5/15/2016 0:00,5/16/2016 0:00,3.087501965,4,7042.316196
5/16/2016 0:00,5/17/2016 0:00,3.297602773,19,8264.683804
5/17/2016 0:00,5/18/2016 0:00,4.568544699,20,9983
5/18/2016 0:00,5/19/2016 0:00,3.293882476,12,7883
5/19/2016 0:00,5/20/2016 0:00,4.079494502,12,8978
5/20/2016 0:00,5/21/2016 0:00,4.49622952,9,9459
5/21/2016 0:00,5/22/2016 0:00,4.574683846,16,10789
5/22/2016 0:00,5/23/2016 0:00,4.372241112,12,10343
5/23/2016 0:00,5/24/2016 0:00,3.392456802,15,7502
5/24/2016 0:00,5/25/2016 0:00,3.190778354,11,6902
5/25/2016 0:00,5/26/2016 0:00,4.283621152,13,9762
